TestN,panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
0,0,0,0,90.032,90.4,0,0
0,0,0,6,90.032,90.4,0,0
0,0,0,12,90.032,90.4,0,0
0,0,0,18,90.032,90.4,0,0
0,0,0,24,90.032,90.4,0,0
0,0,0,31,90.032,90.4,0,0
0,0,0,37,90.032,90.4,0,0
0,0,0,44,90.032,90.4,0,0
0,0,0,56,90.032,90.4,0,0
0,0,0,68,90.032,90.4,0,0
0,0,0,73,90.032,90.4,0,0
0,0,0,80,90.032,90.4,0,0
0,0,0,87,90.032,90.4,0,0
0,0,0,94,90.032,90.4,0,0
0,0,0,100,90.032,90.4,0,0
0,0,0,106,90.032,90.4,0,0
0,0,0,112,90.032,90.4,0,0
0,0,0,118,90.032,90.4,0,0
0,0,0,125,90.032,90.4,0,0
0,0,0,131,90.032,90.4,0,0
0,0,0,138,90.032,90.4,0,0
0,0,0,144,90.032,90.4,0,0
0,0,0,150,90.032,90.4,0,0
0,0,0,157,90.032,90.4,0,0
0,0,0,164,90.032,90.4,0,0
0,0,0,170,90.032,90.4,0,0
0,0,0,176,90.032,90.4,0,0
0,0,0,183,90.032,90.4,0,0
0,0,0,190,90.032,90.4,0,0
0,0,0,197,90.032,90.4,0,0
0,0,0,203,90.032,90.4,0,0
0,0,0,209,90.032,90.4,0,0
0,0,0,215,90.032,90.4,0,0
0,0,0,222,90.032,90.4,0,0
0,0,0,228,90.032,90.4,0,0
0,0,0,235,90.032,90.4,0,0
0,0,0,241,90.032,90.4,0,0
0,0,0,248,90.032,90.4,0,0
0,0,0,254,90.032,90.4,0,0
0,0,0,261,90.032,90.4,0,0
0,0,0,268,90.032,90.4,0,0
0,0,0,274,90.032,90.4,0,0
0,0,0,279,90.032,90.4,0,0
0,0,0,286,90.032,90.4,0,0
0,0,0,293,90.032,90.4,0,0
0,0,0,300,90.032,90.4,0,0
0,0,0,309,90.032,90.4,0,0
0,0,0,315,90.032,90.4,0,0
0,0,0,321,90.032,90.4,0,0
0,0,0,327,90.032,90.4,0,0
0,0,0,335,90.032,90.4,0,0
0,0,0,348,90.032,90.4,0,0
0,0,0,355,90.032,90.4,0,0
0,0,0,362,90.032,90.4,0,0
0,0,0,370,90.032,90.4,0,0
0,0,0,377,90.032,90.4,0,0
0,0,0,385,90.032,90.4,0,0
0,0,0,392,90.032,90.4,0,0
0,0,0,399,90.032,90.4,0,0
0,0,0,406,90.032,90.4,0,0
0,0,0,413,90.032,90.4,0,0
0,0,0,419,90.032,90.4,0,0
0,0,0,427,90.032,90.4,0,0
0,0,0,433,90.032,90.4,0,0
0,0,0,439,90.032,90.4,0,0
0,0,0,446,90.032,90.4,0,0
0,0,0,452,90.032,90.4,0,0
0,0,0,458,90.032,90.4,0,0
0,0,0,464,90.032,90.4,0,0
0,0,0,471,90.032,90.4,0,0
0,0,0,478,90.032,90.4,0,0
0,0,0,485,90.032,90.4,0,0
0,0,0,491,90.032,90.4,0,0
0,0,0,497,90.032,90.4,0,0
0,0,0,503,90.032,90.4,0,0
0,0,0,509,90.032,90.4,0,0
0,0,0,516,90.032,90.4,0,0
0,0,0,523,90.032,90.4,0,0
0,0,0,529,90.032,90.4,0,0
0,0,0,535,90.032,90.4,0,0
0,0,0,543,90.032,90.4,0,0
0,0,0,549,90.032,90.4,0,0
0,0,0,556,90.032,90.4,0,0
0,0,0,562,90.032,90.4,0,0
0,0,0,570,90.032,90.4,0,0
0,0,0,577,90.032,90.4,0,0
0,0,0,584,90.032,90.4,0,0
0,0,0,593,90.032,90.4,0,0
0,0,0,599,90.032,90.4,0,0
0,0,0,607,90.032,90.4,0,0
0,0,0,614,90.032,90.4,0,0
0,0,0,621,90.032,90.4,0,0
0,0,0,628,90.032,90.4,0,0
0,0,0,636,90.032,90.4,0,0
0,0,0,643,90.032,90.4,0,0
0,0,0,649,90.032,90.4,0,0
0,0,0,656,90.032,90.4,0,0
0,0,0,662,90.032,90.4,0,0
0,0,0,669,90.032,90.4,0,0
0,0,0,677,90.032,90.4,0,0
0,0,0,684,90.032,90.4,0,0
0,0,0,691,90.032,90.4,0,0
0,0,0,697,90.032,90.4,0,0
0,0,0,703,90.032,90.4,0,0
0,0,0,710,90.032,90.4,0,0
0,0,0,716,90.032,90.4,0,0
0,0,0,723,90.032,90.4,0,0
0,0,0,728,90.032,90.4,0,0
0,0,0,734,90.032,90.4,0,0
0,0,0,741,90.032,90.4,0,0
0,0,0,747,90.032,90.4,0,0
0,0,0,753,90.032,90.4,0,0
0,0,0,760,90.032,90.4,0,0
