TestN,panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
0,-90,-90,0,68.848,76,0,0
0,-90,-90,7,68.848,76,0,0
0,-90,-90,14,68.848,76,0,0
0,-90,-90,20,68.848,76,0,0
0,-90,-90,26,68.848,76,0,0
0,-90,-90,32,68.848,76,0,0
0,-90,-90,38,68.848,76,0,0
0,-90,-90,46,68.848,76,0,0
0,-90,-90,53,68.848,76,0,0
0,-90,-90,59,68.848,76,0,0
0,-90,-90,65,68.848,76,0,0
0,-90,-90,72,68.848,76,0,0
0,-90,-90,78,68.848,76,0,0
0,-90,-90,85,68.848,76,0,0
0,-90,-90,92,68.848,76,0,0
0,-90,-90,99,68.848,76,0,0
0,-90,-90,105,68.848,76,0,0
0,-90,-90,112,68.848,76,0,0
0,-90,-90,118,68.848,76,0,0
0,-90,-90,125,68.848,76,0,0
0,-90,-90,133,68.848,76,0,0
0,-90,-90,140,68.848,76,0,0
0,-90,-90,147,68.848,76,0,0
0,-90,-90,153,68.848,76,0,0
0,-90,-90,159,68.848,76,0,0
0,-90,-90,166,68.848,76,0,0
0,-90,-90,174,68.848,76,0,0
0,-90,-90,180,68.848,76,0,0
0,-90,-90,187,68.848,76,0,0
0,-90,-90,194,68.848,76,0,0
0,-90,-90,202,68.848,76,0,0
0,-90,-90,209,68.848,76,0,0
0,-90,-90,216,67.524,76,0,0
0,-90,-90,227,67.524,76,0,0
0,-90,-90,234,67.524,76,0,0
0,-90,-90,241,67.524,76,0,0
0,-90,-90,248,67.524,76,0,0
0,-90,-90,255,67.524,76,0,0
0,-90,-90,261,67.524,76,0,0
0,-90,-90,267,67.524,76,0,0
0,-90,-90,275,67.524,76,0,0
0,-90,-90,283,67.524,76,0,0
0,-90,-90,289,67.524,76,0,0
0,-90,-90,296,67.524,76,0,0
0,-90,-90,303,67.524,76,0,0
0,-90,-90,310,67.524,76,0,0
0,-90,-90,317,66.2,76,-12,0
0,-90,-90,324,60.904,64.8,-12,-12
0,-90,-90,331,51.636,44.8,-12,-12
0,-90,-90,337,35.748,24,-12,-11.54
0,-90,-90,344,27.804,15.2,-12,-7.62
0,-90,-90,353,26.48,12.8,-12,-6.7799997
0,-90,-90,361,23.832,11.2,-12,-12
0,-90,-90,368,21.184,8.8,-12,-12
0,-90,-90,376,18.536,8.8,-12,-12
0,-90,-90,384,18.536,7.2000003,-12,-12
0,-90,-90,392,15.8880005,4.8,-12,-12
0,-90,-90,399,13.24,2.4,-12,-3.1399999
0,-90,-90,407,11.916,0,-12,-3.1399999
0,-90,-90,414,11.916,0,-12,0
0,-90,-90,421,9.268,-1.6,-12,2.86
0,-90,-90,430,6.62,-2.4,-12,3.1399999
0,-90,-90,437,3.9720001,-2.4,-12,3.1399999
0,-90,-90,445,3.9720001,-2.4,-12,3.1399999
0,-90,-90,453,1.324,-3.2,-12,3.42
0,-90,-90,460,-1.324,-3.2,-12,3.42
0,-90,-90,467,-3.9720001,-3.2,-12,3.42
0,-90,-90,475,-3.9720001,-3.2,-12,3.42
0,-90,-90,483,-7.9440002,-3.2,-10.967199,3.42
0,-90,-90,490,0,-3.2,-12,3.42
0,-90,-90,498,-1.324,-2.4,-12,3.42
0,-90,-90,506,-3.9720001,-2.4,-12,3.1399999
0,-90,-90,516,-6.62,-0.8,-12,2.86
0,-90,-90,524,-6.62,-0.8,-12,-12
0,-90,-90,532,-9.268,0,-12,-12
0,-90,-90,540,-11.916,0,-12,-12
0,-90,-90,548,-14.564,-0.8,-12,-12
0,-90,-90,555,-14.564,-0.8,-12,-12
0,-90,-90,562,-18.536,-1.6,-8.848816,-12
0,-90,-90,570,-21.184,-2.4,-10.9671955,-12
0,-90,-90,577,-23.832,-3.2,-10.437594,-12
0,-90,-90,584,-23.832,-3.2,-10.437594,3.42
0,-90,-90,592,-26.48,-4.8,-9.908003,3.98
0,-90,-90,601,-29.128,-5.6,-9.378403,4.2599998
0,-90,-90,607,-31.776001,0,-8.848795,0
0,-90,-90,615,-31.776001,0,-8.848795,0
0,-90,-90,623,-34.424,0,-8.319202,0
0,-90,-90,630,-37.072,-0.8,-7.789603,2.58
0,-90,-90,637,-39.72,0,-7.789603,2.58
0,-90,-90,643,-39.72,0,-7.2599945,0
0,-90,-90,653,-42.368,0,-6.730403,0
0,-90,-90,660,-45.016,0,-6.200803,0
0,-90,-90,668,-47.664,0,-5.671195,0
0,-90,-90,675,-50.312,0,-5.671195,0
0,-90,-90,683,-50.312,0,-5.1416025,0
0,-90,-90,690,-52.96,0.8,-4.612003,-2.58
0,-90,-90,698,-55.608,0.8,-4.0823946,-2.58
0,-90,-90,705,-56.932,0.8,-4.0823946,-2.58
0,-90,-90,713,-56.932,0.8,-6.4656053,-2.58
0,-90,-90,720,-59.58,0.8,-3.2879944,-2.58
0,-90,-90,727,-62.228,0.8,-2.7584023,-2.58
0,-90,-90,734,-62.228,0.8,-2.7584023,-2.58
0,-90,-90,741,-64.876,0.8,-2.2288027,-2.58
0,-90,-90,749,-66.2,0.8,-4.6120057,-2.58
0,-90,-90,756,-67.524,0,-4.6120057,-2.58
0,-90,-90,764,-67.524,0,-4.3471894,0
0,-90,-90,771,-70.172,0,-1.1696107,0
0,-90,-90,779,-71.496,0,-3.5527894,0
0,-90,-90,787,-74.144,0,-0.37521052,0
0,-90,-90,794,-74.144,0,-0.37521052,0
0,-90,-90,802,-75.468,0,-2.7583892,0
0,-90,-90,809,-76.792,0,-2.4936051,0
0,-90,-90,817,-78.116,0,-2.2288055,0
0,-90,-90,825,-79.44,0,-2.2288055,0
0,-90,-90,834,-79.44,0,-1.9639893,0
0,-90,-90,843,-80.764,0,-1.699205,0
0,-90,-90,851,-82.088,0,-1.4344056,0
0,-90,-90,858,-83.412,0,-1.1695893,0
0,-90,-90,867,-84.736,0,-0.90480506,0
0,-90,-90,874,-84.736,0,-0.90480506,0
0,-90,-90,882,-86.06,0,-0.6400056,0
0,-90,-90,889,-86.06,0,-3.2880006,-12
0,-90,-90,896,-87.384,0,-3.2880006,-12
0,-90,-90,905,-88.708,0,-0.3751893,-12
0,-90,-90,913,-88.708,0,-0.11040497,-12
0,-90,-90,921,-90.032,0,2.5839996,-12
0,-90,-90,928,-90.032,0,0,-12
0,-90,-90,935,-91.356,0,0,-12
0,-90,-90,943,-91.356,0,5.4832063,-12
0,-90,-90,949,-91.356,0,2.7712007,-12
0,-90,-90,957,-92.68,0,5.6839952,-12
0,-90,-90,966,-92.68,0,5.6839952,-12
0,-90,-90,973,-92.68,0,3.036,-12
0,-90,-90,981,-94.004,0,5.9487944,-12
0,-90,-90,990,-94.004,0,3.3007996,-12
0,-90,-90,998,-94.004,0,3.3007996,-12
0,-90,-90,1006,-94.004,-0.8,3.3007996,-12
0,-90,-90,1012,-94.004,-0.8,3.3007996,-12
0,-90,-90,1020,-95.328,-0.8,6.2136106,-12
0,-90,-90,1027,-95.328,-0.8,3.5656006,-12
0,-90,-90,1035,-95.328,-0.8,3.5656006,-12
0,-90,-90,1042,-95.328,-0.8,3.5656006,-12
0,-90,-90,1049,-95.328,-0.8,3.5656006,-12
0,-90,-90,1056,-95.328,-0.8,3.5656006,-12
0,-90,-90,1063,-95.328,-0.8,3.5656006,-12
0,-90,-90,1071,-96.652,-0.8,6.478395,-12
0,-90,-90,1078,-96.652,-0.8,3.8304,-12
0,-90,-90,1085,-96.652,-0.8,3.8304,-12
0,-90,-90,1093,-96.652,-0.8,3.8304,-12
0,-90,-90,1103,-96.652,-0.8,3.8304,-12
0,-90,-90,1110,-96.652,-0.8,3.8304,-12
0,-90,-90,1118,-96.652,-0.8,3.8304,-12
0,-90,-90,1125,-96.652,-0.8,3.8304,-12
0,-90,-90,1134,-96.652,-0.8,3.8304,-12
0,-90,-90,1142,-96.652,-0.8,3.8304,-12
0,-90,-90,1150,-96.652,-0.8,3.8304,-12
0,-90,-90,1157,-96.652,-0.8,3.8304,-12
0,-90,-90,1164,-96.652,-0.8,3.8304,-12
0,-90,-90,1172,-96.652,-0.8,3.8304,-12
0,-90,-90,1179,-96.652,-0.8,3.8304,-12
0,-90,-90,1187,-96.652,-0.8,3.8304,-12
0,-90,-90,1196,-96.652,-0.8,3.8304,-12
0,-90,-90,1204,-96.652,-0.8,3.8304,-12
0,-90,-90,1212,-96.652,-0.8,3.8304,-12
0,-90,-90,1219,-96.652,-0.8,3.8304,-12
0,-90,-90,1227,-96.652,-0.8,3.8304,-12
0,-90,-90,1234,-96.652,-0.8,3.8304,-12
0,-90,-90,1242,-96.652,-0.8,3.8304,-12
0,-90,-90,1250,-96.652,-0.8,3.8304,-12
0,-90,-90,1258,-96.652,-0.8,3.8304,-12
0,-90,-90,1266,-96.652,-0.8,3.8304,-12
0,-90,-90,1274,-96.652,-0.8,3.8304,-12
0,-90,-90,1282,-96.652,-0.8,3.8304,-12
0,-90,-90,1289,-96.652,-0.8,3.8304,-12
0,-90,-90,1296,-96.652,-0.8,3.8304,-12
0,-90,-90,1304,-96.652,-0.8,3.8304,-12
0,-90,-90,1312,-96.652,-0.8,3.8304,-12
