Count,Time
32768,00000
32769,00006
32770,00012
32771,00018
32772,00023
32773,00029
32774,00036
32775,00044
32776,00050
32777,00054
32778,00059
32779,00063
32780,00066
32781,00070
32782,00073
32783,00077
32784,00080
32785,00084
32786,00087
32787,00091
32788,00094
32789,00098
32790,00101
32791,00104
32792,00108
32793,00111
32794,00114
32795,00117
32796,00121
32797,00124
32798,00127
32799,00130
32800,00133
32801,00136
32802,00139
32803,00142
32804,00145
32805,00148
32806,00151
32807,00154
32808,00157
32809,00160
32810,00163
32811,00166
32812,00169
32813,00172
32814,00175
32815,00178
32816,00181
32817,00184
32818,00188
32819,00191
32820,00194
32821,00197
32822,00200
32823,00203
32824,00206
32825,00209
32826,00212
32827,00215
32828,00218
32829,00221
32830,00224
32831,00228
32832,00231
32833,00234
32834,00237
32835,00240
32836,00243
32837,00246
32838,00249
32839,00252
32840,00255
32841,00258
32842,00261
32843,00264
32844,00267
32845,00270
32846,00273
32847,00276
32848,00279
32849,00282
32850,00285
32851,00288
32852,00291
32853,00295
32854,00298
32855,00301
32856,00304
32857,00307
32858,00310
32859,00313
32860,00316
32861,00319
32862,00322
32863,00325
32864,00328
32865,00331
32866,00334
32867,00337
32868,00340
32869,00343
32870,00346
32871,00350
32872,00353
32873,00356
32874,00359
32875,00362
32876,00365
32877,00368
32878,00371
32879,00374
32880,00377
32881,00380
32882,00383
32883,00386
32884,00389
32885,00392
32886,00395
32887,00398
32888,00401
32889,00405
32890,00408
32891,00411
32892,00414
32893,00417
32894,00420
32895,00423
32896,00426
32897,00429
32898,00432
32899,00435
32900,00438
32901,00441
32902,00444
32903,00447
32904,00450
32905,00453
32906,00456
32907,00460
32908,00463
32909,00466
32910,00469
32911,00472
32912,00475
32913,00478
32914,00481
32915,00484
32916,00487
32917,00490
32918,00494
32919,00497
32920,00500
32921,00503
32922,00506
32923,00509
32924,00512
32925,00515
32926,00518
32927,00521
32928,00524
32929,00528
32930,00531
32931,00534
32932,00537
32933,00540
32934,00543
32935,00546
32936,00549
32937,00552
32938,00556
32939,00559
32940,00562
32941,00565
32942,00568
32943,00571
32944,00574
32945,00577
32946,00581
32947,00584
32948,00587
32949,00590
32950,00593
32951,00596
32952,00599
32953,00602
32954,00606
32955,00609
32956,00612
32957,00615
32958,00618
32959,00621
32960,00624
32961,00627
32962,00630
32963,00634
32964,00637
32965,00640
32966,00643
32967,00646
32968,00649
32969,00652
32970,00655
32971,00658
32972,00661
32973,00664
32974,00668
32975,00671
32976,00674
32977,00677
32978,00680
32979,00683
32980,00686
32981,00689
32982,00693
32983,00696
32984,00699
32985,00702
32986,00705
32987,00708
32988,00711
32989,00714
32990,00717
32991,00720
32992,00723
32993,00727
32994,00730
32995,00733
32996,00736
32997,00739
32998,00742
32999,00745
33000,00748
33001,00751
33002,00755
33003,00758
33004,00761
33005,00764
33006,00767
33007,00770
33008,00773
33009,00776
33010,00779
33011,00783
33012,00786
33013,00789
33014,00792
33015,00795
33016,00798
33017,00801
33018,00805
33019,00808
33020,00811
33021,00814
33022,00817
33023,00820
33024,00823
33025,00827
33026,00830
33027,00833
33028,00836
33029,00839
33030,00842
33031,00846
33032,00849
33033,00852
33034,00855
33035,00858
33036,00861
33037,00864
33038,00868
33039,00871
33040,00874
33041,00877
33042,00880
33043,00883
33044,00886
33045,00890
33046,00893
33047,00896
33048,00899
33049,00902
33050,00905
33051,00909
33052,00912
33053,00915
33054,00918
33055,00921
33056,00924
33057,00927
33058,00931
33059,00934
33060,00937
33061,00940
33062,00943
33063,00946
33064,00949
33065,00953
33066,00956
33067,00959
33068,00962
33069,00965
33070,00968
33071,00972
33072,00975
33073,00978
33074,00981
33075,00984
33076,00987
33077,00990
33078,00993
33079,00997
33080,01000
33081,01003
33082,01006
33083,01009
33084,01012
33085,01015
33086,01019
33087,01022
33088,01025
33089,01028
33090,01031
33091,01034
33092,01037
33093,01041
33094,01044
33095,01047
33096,01050
33097,01053
33098,01056
33099,01060
33100,01063
33101,01066
33102,01069
33103,01072
33104,01075
33105,01079
33106,01082
33107,01085
33108,01088
33109,01091
33110,01094
33111,01097
33112,01101
33113,01104
33114,01107
33115,01110
33116,01113
33117,01116
33118,01120
33119,01123
33120,01126
33121,01129
33122,01132
33123,01136
33124,01139
33125,01142
33126,01145
33127,01148
33128,01151
33129,01155
33130,01158
33131,01161
33132,01164
33133,01167
33134,01170
33135,01173
33136,01177
33137,01180
33138,01183
33139,01186
33140,01189
33141,01192
33142,01196
33143,01199
33144,01202
33145,01205
33146,01208
33147,01211
33148,01214
33149,01218
33150,01221
33151,01224
33152,01227
33153,01230
33154,01233
33155,01236
33156,01239
33157,01243
33158,01246
33159,01249
33160,01252
33161,01255
33162,01258
33163,01261
33164,01264
33165,01268
33166,01271
33167,01274
33168,01277
33169,01280
33170,01283
33171,01286
33172,01289
33173,01292
33174,01295
33175,01299
33176,01302
33177,01305
33178,01308
33179,01311
33180,01314
33181,01317
33182,01320
33183,01323
33184,01326
33185,01330
33186,01333
33187,01336
33188,01339
33189,01342
33190,01345
33191,01348
33192,01351
33193,01354
33194,01357
33195,01360
33196,01363
33197,01366
33198,01369
33199,01372
33200,01376
33201,01379
33202,01382
33203,01385
33204,01388
33205,01391
33206,01394
33207,01397
33208,01400
33209,01403
33210,01406
33211,01409
33212,01412
33213,01416
33214,01419
33215,01422
33216,01425
33217,01428
33218,01431
33219,01434
33220,01437
33221,01440
33222,01443
33223,01446
33224,01449
33225,01452
33226,01455
33227,01458
33228,01461
33229,01464
33230,01467
33231,01470
33232,01474
33233,01477
33234,01480
33235,01483
33236,01486
33237,01489
33238,01492
33239,01495
33240,01498
33241,01501
33242,01504
33243,01507
33244,01510
33245,01513
33246,01516
33247,01519
33248,01522
33249,01525
33250,01528
33251,01531
33252,01534
33253,01537
33254,01540
33255,01543
33256,01546
33257,01549
33258,01552
33259,01555
33260,01558
33261,01561
33262,01564
33263,01567
33264,01570
33265,01573
33266,01576
33267,01579
33268,01582
33269,01585
33270,01588
33271,01591
33272,01594
33273,01598
33274,01601
33275,01604
33276,01607
33277,01610
33278,01613
33279,01616
33280,01619
33281,01622
33282,01625
33283,01628
33284,01631
33285,01634
33286,01637
33287,01640
33288,01643
33289,01646
33290,01649
33291,01652
33292,01655
33293,01658
33294,01661
33295,01664
33296,01667
33297,01670
33298,01673
33299,01676
33300,01679
33301,01682
33302,01685
33303,01688
33304,01692
33305,01695
33306,01698
33307,01701
33308,01704
33309,01707
33310,01710
33311,01713
33312,01716
33313,01719
33314,01722
33315,01725
33316,01728
33317,01731
33318,01734
33319,01737
33320,01740
33321,01743
33322,01746
33323,01749
33324,01752
33325,01755
33326,01758
33327,01761
33328,01764
33329,01768
33330,01771
33331,01774
33332,01777
33333,01780
33334,01783
33335,01786
33336,01789
33337,01792
33338,01795
33339,01798
33340,01801
33341,01804
33342,01807
33343,01810
33344,01813
33345,01816
33346,01819
33347,01822
33348,01825
33349,01828
33350,01831
33351,01835
33352,01838
33353,01841
33354,01844
33355,01847
33356,01850
33357,01853
33358,01856
33359,01859
33360,01862
33361,01865
33362,01868
33363,01871
33364,01874
33365,01877
33366,01881
33367,01884
33368,01887
33369,01890
33370,01893
33371,01896
33372,01899
33373,01902
33374,01905
33375,01908
33376,01911
33377,01914
33378,01918
33379,01921
33380,01924
33381,01927
33382,01930
33383,01933
33384,01936
33385,01939
33386,01942
33387,01946
33388,01949
33389,01952
33390,01955
33391,01958
33392,01961
33393,01964
33394,01967
33395,01970
33396,01973
33397,01977
33398,01980
33399,01983
33400,01986
33401,01989
33402,01992
33403,01995
33404,01998
33405,02002
33406,02005
33407,02008
33408,02011
33409,02014
33410,02017
33411,02020
33412,02023
33413,02026
33414,02029
33415,02032
33416,02036
33417,02039
33418,02042
33419,02045
33420,02048
33421,02051
33422,02054
33423,02057
33424,02060
33425,02063
33426,02066
33427,02070
33428,02073
33429,02076
33430,02079
33431,02082
33432,02085
33433,02088
33434,02091
33435,02094
33436,02097
33437,02101
33438,02104
33439,02107
33440,02110
33441,02113
33442,02116
33443,02119
33444,02122
33445,02125
33446,02128
33447,02131
33448,02134
33449,02138
33450,02141
33451,02144
33452,02147
33453,02150
33454,02153
33455,02156
33456,02159
33457,02162
33458,02166
33459,02169
33460,02172
33461,02175
33462,02178
33463,02181
33464,02184
33465,02187
33466,02190
33467,02194
33468,02197
33469,02200
33470,02203
33471,02206
33472,02209
33473,02212
33474,02215
33475,02219
33476,02222
33477,02225
33478,02228
33479,02231
33480,02234
33481,02237
33482,02241
33483,02244
33484,02247
33485,02250
33486,02253
33487,02256
33488,02259
33489,02263
33490,02266
33491,02269
33492,02272
33493,02275
33494,02278
33495,02281
33496,02285
33497,02288
33498,02291
33499,02294
33500,02297
33501,02300
33502,02304
33503,02307
33504,02310
33505,02313
33506,02316
33507,02319
33508,02322
33509,02326
33510,02329
33511,02332
33512,02335
33513,02338
33514,02341
33515,02344
33516,02348
33517,02351
33518,02354
33519,02357
33520,02360
33521,02363
33522,02366
33523,02369
33524,02373
33525,02376
33526,02379
33527,02382
33528,02385
33529,02388
33530,02391
33531,02394
33532,02398
33533,02401
33534,02404
33535,02407
33536,02410
33537,02413
33538,02416
33539,02419
33540,02423
33541,02426
33542,02429
33543,02432
33544,02435
33545,02438
33546,02442
33547,02445
33548,02448
33549,02451
33550,02454
33551,02457
33552,02460
33553,02464
33554,02467
33555,02470
33556,02473
33557,02476
33558,02479
33559,02482
33560,02486
33561,02489
33562,02492
33563,02495
33564,02498
33565,02501
33566,02505
33567,02508
33568,02511
33569,02514
33570,02517
33571,02520
33572,02524
33573,02527
33574,02530
33575,02533
33576,02536
33577,02539
33578,02543
33579,02546
33580,02549
33581,02552
33582,02555
33583,02558
33584,02561
33585,02565
33586,02568
33587,02571
33588,02574
33589,02577
33590,02580
33591,02584
33592,02587
33593,02590
33594,02593
33595,02596
33596,02599
33597,02602
33598,02606
33599,02609
33600,02612
33601,02615
33602,02618
33603,02621
33604,02624
33605,02627
33606,02631
33607,02634
33608,02637
33609,02640
33610,02643
33611,02646
33612,02649
33613,02652
33614,02655
33615,02659
33616,02662
33617,02665
33618,02668
33619,02671
33620,02674
33621,02677
33622,02680
33623,02683
33624,02687
33625,02690
33626,02693
33627,02696
33628,02699
33629,02702
33630,02705
33631,02708
33632,02711
33633,02714
33634,02717
33635,02721
33636,02724
33637,02727
33638,02730
33639,02733
33640,02736
33641,02739
33642,02742
33643,02745
33644,02748
33645,02751
33646,02754
33647,02757
33648,02760
33649,02763
33650,02766
33651,02770
33652,02773
33653,02776
33654,02779
33655,02782
33656,02785
33657,02788
33658,02791
33659,02794
33660,02797
33661,02800
33662,02803
33663,02806
33664,02809
33665,02812
33666,02815
33667,02818
33668,02822
33669,02825
33670,02828
33671,02831
33672,02834
33673,02837
33674,02840
33675,02843
33676,02846
33677,02849
33678,02852
33679,02855
33680,02858
33681,02861
33682,02864
33683,02867
33684,02870
33685,02873
33686,02876
33687,02879
33688,02882
33689,02885
33690,02888
33691,02891
33692,02894
33693,02897
33694,02900
33695,02903
33696,02906
33697,02909
33698,02912
33699,02916
33700,02919
33701,02922
33702,02925
33703,02928
33704,02931
33705,02934
33706,02937
33707,02940
33708,02943
33709,02946
33710,02949
33711,02952
33712,02955
33713,02958
33714,02961
33715,02964
33716,02967
33717,02970
33718,02973
33719,02976
33720,02979
33721,02982
33722,02985
33723,02988
33724,02991
33725,02994
33726,02997
33727,03000
33728,03003
33729,03006
33730,03009
33731,03012
33732,03015
33733,03018
33734,03021
33735,03024
33736,03027
33737,03030
33738,03033
33739,03036
33740,03039
33741,03042
33742,03045
33743,03048
33744,03051
33745,03054
33746,03057
33747,03060
33748,03063
33749,03066
33750,03069
33751,03072
33752,03076
33753,03079
33754,03082
33755,03085
33756,03088
33757,03091
33758,03094
33759,03097
33760,03100
33761,03103
33762,03106
33763,03109
33764,03112
33765,03115
33766,03118
33767,03121
33768,03124
33769,03127
33770,03130
33771,03133
33772,03136
33773,03139
33774,03142
33775,03145
33776,03148
33777,03151
33778,03154
33779,03157
33780,03160
33781,03163
33782,03166
33783,03170
33784,03173
33785,03176
33786,03179
33787,03182
33788,03185
33789,03188
33790,03191
33791,03194
33792,03197
33793,03200
33794,03203
33795,03206
33796,03209
33797,03212
33798,03215
33799,03218
33800,03221
33801,03224
33802,03227
33803,03230
33804,03233
33805,03236
33806,03239
33807,03242
33808,03246
33809,03249
33810,03252
33811,03255
33812,03258
33813,03261
33814,03264
33815,03267
33816,03270
33817,03273
33818,03276
33819,03279
33820,03282
33821,03286
33822,03289
33823,03292
33824,03295
33825,03298
33826,03301
33827,03304
33828,03307
33829,03310
33830,03313
33831,03316
33832,03320
33833,03323
33834,03326
33835,03329
33836,03332
33837,03335
33838,03338
33839,03341
33840,03344
33841,03347
33842,03351
33843,03354
33844,03357
33845,03360
33846,03363
33847,03366
33848,03369
33849,03372
33850,03375
33851,03379
33852,03382
33853,03385
33854,03388
33855,03391
33856,03394
33857,03397
33858,03400
33859,03403
33860,03406
33861,03410
33862,03413
33863,03416
33864,03419
33865,03422
33866,03425
33867,03428
33868,03431
33869,03434
33870,03437
33871,03440
33872,03443
33873,03446
33874,03449
33875,03453
33876,03456
33877,03459
33878,03462
33879,03465
33880,03468
33881,03471
33882,03474
33883,03477
33884,03480
33885,03484
33886,03487
33887,03490
33888,03493
33889,03496
33890,03499
33891,03502
33892,03505
33893,03508
33894,03511
33895,03514
33896,03517
33897,03521
33898,03524
33899,03527
33900,03530
33901,03533
33902,03536
33903,03539
33904,03542
33905,03545
33906,03548
33907,03551
33908,03555
33909,03558
33910,03561
33911,03564
33912,03567
33913,03570
33914,03573
33915,03576
33916,03579
33917,03583
33918,03586
33919,03589
33920,03592
33921,03595
33922,03598
33923,03601
33924,03605
33925,03608
33926,03611
33927,03614
33928,03617
33929,03620
33930,03623
33931,03626
33932,03630
33933,03633
33934,03636
33935,03639
33936,03642
33937,03645
33938,03648
33939,03652
33940,03655
33941,03658
33942,03661
33943,03664
33944,03667
33945,03670
33946,03673
33947,03677
33948,03680
33949,03683
33950,03686
33951,03689
33952,03692
33953,03695
33954,03699
33955,03702
33956,03705
33957,03708
33958,03711
33959,03714
33960,03717
33961,03721
33962,03724
33963,03727
33964,03730
33965,03733
33966,03736
33967,03739
33968,03743
33969,03746
33970,03749
33971,03752
33972,03755
33973,03758
33974,03761
33975,03765
33976,03768
33977,03771
33978,03774
33979,03777
33980,03780
33981,03783
33982,03786
33983,03789
33984,03793
33985,03796
33986,03799
33987,03802
33988,03805
33989,03808
33990,03811
33991,03815
33992,03818
33993,03821
33994,03824
33995,03827
33996,03830
33997,03833
33998,03837
33999,03840
34000,03843
34001,03846
34002,03849
34003,03852
34004,03855
34005,03859
34006,03862
34007,03865
34008,03868
34009,03871
34010,03874
34011,03877
34012,03881
34013,03884
34014,03887
34015,03890
34016,03893
34017,03896
34018,03900
34019,03903
34020,03906
34021,03909
34022,03912
34023,03915
34024,03919
34025,03922
34026,03925
34027,03928
34028,03931
34029,03934
34030,03937
34031,03941
34032,03944
34033,03947
34034,03950
34035,03953
34036,03956
34037,03960
34038,03963
34039,03966
34040,03969
34041,03972
34042,03975
34043,03978
34044,03982
34045,03985
34046,03988
34047,03991
34048,03994
34049,03997
34050,04000
34051,04003
34052,04007
34053,04010
34054,04013
34055,04016
34056,04019
34057,04022
34058,04025
34059,04028
34060,04032
34061,04035
34062,04038
34063,04041
34064,04044
34065,04047
34066,04050
34067,04053
34068,04056
34069,04059
34070,04063
34071,04066
34072,04069
34073,04072
34074,04075
34075,04078
34076,04081
34077,04084
34078,04087
34079,04090
34080,04094
34081,04097
34082,04100
34083,04103
34084,04106
34085,04109
34086,04112
34087,04115
34088,04118
34089,04121
34090,04124
34091,04127
34092,04130
34093,04134
34094,04137
34095,04140
34096,04143
34097,04146
34098,04149
34099,04152
34100,04155
34101,04158
34102,04161
34103,04164
34104,04167
34105,04170
34106,04173
34107,04176
34108,04179
34109,04183
34110,04186
34111,04189
34112,04192
34113,04195
34114,04198
34115,04201
34116,04204
34117,04207
34118,04210
34119,04213
34120,04216
34121,04219
34122,04222
34123,04225
34124,04228
34125,04231
34126,04234
34127,04237
34128,04241
34129,04244
34130,04247
34131,04250
34132,04253
34133,04256
34134,04259
34135,04262
34136,04265
34137,04268
34138,04271
34139,04274
34140,04277
34141,04280
34142,04283
34143,04286
34144,04289
34145,04292
34146,04295
34147,04298
34148,04301
34149,04304
34150,04307
34151,04310
34152,04313
34153,04316
34154,04319
34155,04322
34156,04325
34157,04328
34158,04331
34159,04334
34160,04337
34161,04340
34162,04343
34163,04346
34164,04349
34165,04352
34166,04355
34167,04358
34168,04361
34169,04364
34170,04367
34171,04370
34172,04373
34173,04376
34174,04379
34175,04382
34176,04385
34177,04388
34178,04392
34179,04395
34180,04398
34181,04401
34182,04404
34183,04407
34184,04410
34185,04413
34186,04416
34187,04419
34188,04422
34189,04425
34190,04428
34191,04431
34192,04434
34193,04437
34194,04440
34195,04443
34196,04446
34197,04449
34198,04452
34199,04455
34200,04458
34201,04461
34202,04464
34203,04467
34204,04470
34205,04473
34206,04476
34207,04479
34208,04482
34209,04485
34210,04488
34211,04491
34212,04494
34213,04497
34214,04500
34215,04504
34216,04507
34217,04510
34218,04513
34219,04516
34220,04519
34221,04522
34222,04525
34223,04528
34224,04531
34225,04534
34226,04537
34227,04540
34228,04543
34229,04546
34230,04549
34231,04552
34232,04555
34233,04558
34234,04561
34235,04564
34236,04567
34237,04570
34238,04573
34239,04576
34240,04579
34241,04582
34242,04585
34243,04588
34244,04592
34245,04595
34246,04598
34247,04601
34248,04604
34249,04607
34250,04610
34251,04613
34252,04616
34253,04619
34254,04622
34255,04625
34256,04628
34257,04631
34258,04634
34259,04637
34260,04640
34261,04643
34262,04646
34263,04650
34264,04653
34265,04656
34266,04659
34267,04662
34268,04665
34269,04668
34270,04671
34271,04674
34272,04677
34273,04680
34274,04683
34275,04687
34276,04690
34277,04693
34278,04696
34279,04699
34280,04702
34281,04705
34282,04708
34283,04711
34284,04714
34285,04718
34286,04721
34287,04724
34288,04727
34289,04730
34290,04733
34291,04736
34292,04739
34293,04742
34294,04745
34295,04749
34296,04752
34297,04755
34298,04758
34299,04761
34300,04764
34301,04767
34302,04770
34303,04773
34304,04777
34305,04780
34306,04783
34307,04786
34308,04789
34309,04792
34310,04795
34311,04798
34312,04801
34313,04804
34314,04808
34315,04811
34316,04814
34317,04817
34318,04820
34319,04823
34320,04826
34321,04829
34322,04832
34323,04835
34324,04838
34325,04841
34326,04845
34327,04848
34328,04851
34329,04854
34330,04857
34331,04860
34332,04863
34333,04866
34334,04869
34335,04872
34336,04876
34337,04879
34338,04882
34339,04885
34340,04888
34341,04891
34342,04894
34343,04897
34344,04900
34345,04903
34346,04906
34347,04909
34348,04913
34349,04916
34350,04919
34351,04922
34352,04925
34353,04928
34354,04931
34355,04934
34356,04937
34357,04941
34358,04944
34359,04947
34360,04950
34361,04953
34362,04956
34363,04959
34364,04962
34365,04965
34366,04969
34367,04972
34368,04975
34369,04978
34370,04981
34371,04984
34372,04987
34373,04991
34374,04994
34375,04997
34376,05000
34377,05003
34378,05006
34379,05009
34380,05013
34381,05016
34382,05019
34383,05022
34384,05025
34385,05028
34386,05031
34387,05035
34388,05038
34389,05041
34390,05044
34391,05047
34392,05050
34393,05053
34394,05056
34395,05060
34396,05063
34397,05066
34398,05069
34399,05072
34400,05075
34401,05079
34402,05082
34403,05085
34404,05088
34405,05091
34406,05094
34407,05097
34408,05100
34409,05104
34410,05107
34411,05110
34412,05113
34413,05116
34414,05119
34415,05122
34416,05125
34417,05129
34418,05132
34419,05135
34420,05138
34421,05141
34422,05144
34423,05147
34424,05151
34425,05154
34426,05157
34427,05160
34428,05163
34429,05166
34430,05169
34431,05172
34432,05175
34433,05179
34434,05182
34435,05185
34436,05188
34437,05191
34438,05194
34439,05197
34440,05201
34441,05204
34442,05207
34443,05210
34444,05213
34445,05216
34446,05219
34447,05223
34448,05226
34449,05229
34450,05232
34451,05235
34452,05238
34453,05241
34454,05245
34455,05248
34456,05251
34457,05254
34458,05257
34459,05260
34460,05264
34461,05267
34462,05270
34463,05273
34464,05276
34465,05279
34466,05282
34467,05286
34468,05289
34469,05292
34470,05295
34471,05298
34472,05301
34473,05305
34474,05308
34475,05311
34476,05314
34477,05317
34478,05320
34479,05324
34480,05327
34481,05330
34482,05333
34483,05336
34484,05339
34485,05342
34486,05346
34487,05349
34488,05352
34489,05355
34490,05358
34491,05361
34492,05365
34493,05368
34494,05371
34495,05374
34496,05377
34497,05380
34498,05383
34499,05386
34500,05390
34501,05393
34502,05396
34503,05399
34504,05402
34505,05405
34506,05408
34507,05411
34508,05415
34509,05418
34510,05421
34511,05424
34512,05427
34513,05430
34514,05433
34515,05436
34516,05439
34517,05443
34518,05446
34519,05449
34520,05452
34521,05455
34522,05458
34523,05461
34524,05464
34525,05467
34526,05470
34527,05474
34528,05477
34529,05480
34530,05483
34531,05486
34532,05489
34533,05492
34534,05495
34535,05498
34536,05501
34537,05504
34538,05507
34539,05511
34540,05514
34541,05517
34542,05520
34543,05523
34544,05526
34545,05529
34546,05532
34547,05535
34548,05538
34549,05541
34550,05544
34551,05547
