Angle,Time
-283.2,1.17
-284.0,1.173
-284.8,1.176
-285.6,1.179
-286.4,1.183
-287.2,1.186
-288.0,1.189
-288.8,1.192
-289.6,1.196
-290.4,1.199
-291.2,1.202
-292.0,1.205
-292.8,1.208
-293.6,1.212
-294.4,1.215
-295.2,1.218
-296.0,1.221
-296.8,1.225
-297.6,1.228
-298.4,1.231
-299.2,1.234
-300.0,1.238
-300.8,1.241
-301.6,1.244
-302.4,1.247
-303.2,1.25
-304.0,1.254
-304.8,1.257
-305.6,1.26
-306.4,1.263
-307.2,1.267
-308.0,1.27
-308.8,1.273
-309.6,1.276
-310.4,1.279
-311.2,1.283
-312.0,1.286
-312.8,1.289
-313.6,1.292
-314.4,1.295
-315.2,1.298
-316.0,1.302
-316.8,1.305
-317.6,1.308
-318.4,1.311
-319.2,1.314
-320.0,1.317
-320.8,1.321
-321.6,1.324
-322.4,1.327
-323.2,1.33
-324.0,1.333
-324.8,1.336
-325.6,1.34
-326.4,1.343
-327.2,1.346
-328.0,1.349
-328.8,1.352
-329.6,1.355
-330.4,1.359
-331.2,1.362
-332.0,1.365
-332.8,1.368
-333.6,1.371
-334.4,1.374
-335.2,1.378
-336.0,1.381
-336.8,1.384
-337.6,1.387
-338.4,1.39
-339.2,1.393
-340.0,1.397
-340.8,1.4
-341.6,1.403
-342.4,1.406
-343.2,1.409
-344.0,1.412
-344.8,1.416
-345.6,1.419
-346.4,1.422
-347.2,1.425
-348.0,1.428
-348.8,1.431
-349.6,1.434
-350.4,1.438
-351.2,1.441
-352.0,1.444
-352.8,1.447
-353.6,1.45
-354.4,1.453
-355.2,1.456
-356.0,1.46
-356.8,1.463
-357.6,1.466
-358.4,1.469
-359.2,1.472
