Angle,Time
319.2,1.272
320.0,1.275
320.8,1.278
321.6,1.281
322.4,1.285
323.2,1.288
324.0,1.291
324.8,1.294
325.6,1.297
326.4,1.3
327.2,1.303
328.0,1.306
328.8,1.309
329.6,1.312
330.4,1.315
331.2,1.319
332.0,1.322
332.8,1.325
333.6,1.328
334.4,1.331
335.2,1.334
336.0,1.337
336.8,1.34
337.6,1.343
338.4,1.346
339.2,1.349
340.0,1.352
340.8,1.355
341.6,1.358
342.4,1.361
343.2,1.365
344.0,1.368
344.8,1.371
345.6,1.374
346.4,1.377
347.2,1.38
348.0,1.383
348.8,1.386
349.6,1.389
350.4,1.392
351.2,1.395
352.0,1.398
352.8,1.401
353.6,1.404
354.4,1.407
355.2,1.411
356.0,1.414
356.8,1.417
357.6,1.42
358.4,1.423
359.2,1.426
