Angle,Time
319.2,1.274
320.0,1.277
320.8,1.28
321.6,1.283
322.4,1.286
323.2,1.289
324.0,1.292
324.8,1.295
325.6,1.299
326.4,1.302
327.2,1.305
328.0,1.308
328.8,1.311
329.6,1.314
330.4,1.317
331.2,1.32
332.0,1.323
332.8,1.326
333.6,1.33
334.4,1.333
335.2,1.336
336.0,1.339
336.8,1.342
337.6,1.345
338.4,1.348
339.2,1.351
340.0,1.354
340.8,1.357
341.6,1.36
342.4,1.363
343.2,1.366
344.0,1.369
344.8,1.372
345.6,1.376
346.4,1.379
347.2,1.382
348.0,1.385
348.8,1.388
349.6,1.391
350.4,1.394
351.2,1.397
352.0,1.4
352.8,1.403
353.6,1.406
354.4,1.409
355.2,1.412
356.0,1.416
356.8,1.419
357.6,1.422
358.4,1.425
359.2,1.428
360.0,1.431
360.8,1.434
361.6,1.437
362.4,1.44
363.2,1.443
364.0,1.446
364.8,1.449
365.6,1.452
366.4,1.455
367.2,1.458
368.0,1.461
368.8,1.464
369.6,1.467
370.4,1.47
371.2,1.474
372.0,1.477
372.8,1.48
373.6,1.483
374.4,1.486
375.2,1.489
376.0,1.492
376.8,1.495
377.6,1.498
378.4,1.501
379.2,1.504
380.0,1.507
380.8,1.51
381.6,1.513
382.4,1.516
383.2,1.519
384.0,1.522
384.8,1.525
385.6,1.528
386.4,1.531
387.2,1.534
388.0,1.537
388.8,1.54
389.6,1.543
390.4,1.546
391.2,1.549
392.0,1.552
392.8,1.555
393.6,1.558
394.4,1.561
395.2,1.564
396.0,1.567
396.8,1.57
397.6,1.573
398.4,1.576
399.2,1.579
400.0,1.582
400.8,1.585
401.6,1.588
402.4,1.591
403.2,1.594
404.0,1.598
404.8,1.601
405.6,1.604
406.4,1.607
407.2,1.61
408.0,1.613
408.8,1.616
409.6,1.619
410.4,1.622
411.2,1.625
412.0,1.628
412.8,1.631
413.6,1.634
414.4,1.637
415.2,1.64
416.0,1.643
416.8,1.646
417.6,1.649
418.4,1.652
419.2,1.655
420.0,1.658
420.8,1.661
421.6,1.664
422.4,1.667
423.2,1.67
424.0,1.673
424.8,1.676
425.6,1.679
426.4,1.682
427.2,1.685
428.0,1.688
428.8,1.692
429.6,1.695
430.4,1.698
431.2,1.701
432.0,1.704
432.8,1.707
433.6,1.71
434.4,1.713
435.2,1.716
436.0,1.719
436.8,1.722
437.6,1.725
438.4,1.728
439.2,1.731
440.0,1.734
440.8,1.737
441.6,1.74
442.4,1.743
443.2,1.746
444.0,1.749
444.8,1.752
445.6,1.755
446.4,1.758
447.2,1.761
448.0,1.764
448.8,1.768
449.6,1.771
450.4,1.774
451.2,1.777
452.0,1.78
452.8,1.783
453.6,1.786
454.4,1.789
455.2,1.792
456.0,1.795
456.8,1.798
457.6,1.801
458.4,1.804
459.2,1.807
460.0,1.81
460.8,1.813
461.6,1.816
462.4,1.819
463.2,1.822
464.0,1.825
464.8,1.828
465.6,1.831
466.4,1.835
467.2,1.838
468.0,1.841
468.8,1.844
469.6,1.847
470.4,1.85
471.2,1.853
472.0,1.856
472.8,1.859
473.6,1.862
474.4,1.865
475.2,1.868
476.0,1.871
476.8,1.874
477.6,1.877
478.4,1.881
479.2,1.884
480.0,1.887
