Axis Count Time
T 32368 01317
T 32367 01321
T 32366 01324
T 32365 01327
T 32364 01330
T 32363 01333
T 32362 01336
T 32361 01340
T 32360 01343
T 32359 01346
T 32358 01349
T 32357 01352
T 32356 01355
T 32355 01359
T 32354 01362
T 32353 01365
T 32352 01368
T 32351 01371
T 32350 01374
T 32349 01378
T 32348 01381
T 32347 01384
T 32346 01387
T 32345 01390
T 32344 01393
T 32343 01397
T 32342 01400
T 32341 01403
T 32340 01406
T 32339 01409
T 32338 01412
T 32337 01416
T 32336 01419
T 32335 01422
T 32334 01425
T 32333 01428
T 32332 01431
T 32331 01434
T 32330 01438
T 32329 01441
T 32328 01444
T 32327 01447
T 32326 01450
T 32325 01453
T 32324 01456
T 32323 01460
T 32322 01463
T 32321 01466
T 32320 01469
T 32319 01472
