Axis Count Time
T 32368 01316
T 32367 01320
T 32366 01323
T 32365 01326
T 32364 01329
T 32363 01332
T 32362 01335
T 32361 01339
T 32360 01342
T 32359 01345
T 32358 01348
T 32357 01351
T 32356 01354
T 32355 01358
T 32354 01361
T 32353 01364
T 32352 01367
T 32351 01370
T 32350 01373
T 32349 01377
T 32348 01380
T 32347 01383
T 32346 01386
T 32345 01389
T 32344 01392
T 32343 01396
T 32342 01399
T 32341 01402
T 32340 01405
T 32339 01408
T 32338 01411
T 32337 01414
T 32336 01418
T 32335 01421
T 32334 01424
T 32333 01427
T 32332 01430
T 32331 01433
T 32330 01436
T 32329 01439
T 32328 01443
T 32327 01446
T 32326 01449
T 32325 01452
T 32324 01455
T 32323 01458
T 32322 01462
T 32321 01465
T 32320 01468
T 32319 01471
T 32318 01474
T 32317 01477
T 32316 01480
T 32315 01484
T 32314 01487
T 32313 01490
T 32312 01493
T 32311 01496
T 32310 01499
T 32309 01503
T 32308 01506
T 32307 01509
T 32306 01512
T 32305 01515
T 32304 01518
T 32303 01521
T 32302 01524
T 32301 01528
T 32300 01531
T 32299 01534
T 32298 01537
T 32297 01540
T 32296 01543
T 32295 01547
T 32294 01550
T 32293 01553
T 32292 01556
T 32291 01559
T 32290 01562
T 32289 01565
T 32288 01569
T 32287 01572
T 32286 01575
T 32285 01578
T 32284 01581
T 32283 01584
T 32282 01587
T 32281 01590
T 32280 01594
T 32279 01597
T 32278 01600
T 32277 01603
T 32276 01606
T 32275 01609
T 32274 01612
T 32273 01616
T 32272 01619
T 32271 01622
T 32270 01625
T 32269 01628
T 32268 01631
T 32267 01634
T 32266 01637
T 32265 01640
T 32264 01644
T 32263 01647
T 32262 01650
T 32261 01653
T 32260 01656
T 32259 01659
T 32258 01662
T 32257 01665
T 32256 01669
T 32255 01672
T 32254 01675
T 32253 01678
T 32252 01681
T 32251 01684
T 32250 01687
T 32249 01691
T 32248 01694
T 32247 01697
T 32246 01700
T 32245 01703
T 32244 01706
T 32243 01709
T 32242 01712
T 32241 01716
T 32240 01719
T 32239 01722
T 32238 01725
T 32237 01728
T 32236 01731
T 32235 01735
T 32234 01738
T 32233 01741
T 32232 01744
T 32231 01747
T 32230 01750
T 32229 01754
T 32228 01757
T 32227 01760
T 32226 01763
T 32225 01766
T 32224 01769
T 32223 01773
T 32222 01776
T 32221 01779
T 32220 01782
T 32219 01785
T 32218 01788
T 32217 01792
T 32216 01795
T 32215 01798
T 32214 01801
T 32213 01804
T 32212 01807
T 32211 01811
T 32210 01814
T 32209 01817
T 32208 01820
T 32207 01823
T 32206 01826
T 32205 01830
T 32204 01833
T 32203 01836
T 32202 01839
T 32201 01842
T 32200 01845
T 32199 01849
T 32198 01852
T 32197 01855
T 32196 01858
T 32195 01861
T 32194 01864
T 32193 01868
T 32192 01871
T 32191 01874
T 32190 01877
T 32189 01880
T 32188 01883
T 32187 01887
T 32186 01890
T 32185 01893
T 32184 01896
T 32183 01899
T 32182 01902
T 32181 01905
T 32180 01908
T 32179 01911
T 32178 01915
T 32177 01918
T 32176 01921
T 32175 01924
T 32174 01927
T 32173 01930
T 32172 01934
T 32171 01937
T 32170 01940
T 32169 01943
T 32168 01946
T 32167 01949
T 32166 01952
T 32165 01956
T 32164 01959
T 32163 01962
T 32162 01965
T 32161 01968
T 32160 01971
T 32159 01975
T 32158 01978
T 32157 01981
T 32156 01984
T 32155 01987
T 32154 01990
T 32153 01993
T 32152 01997
T 32151 02000
T 32150 02003
T 32149 02006
T 32148 02009
T 32147 02012
T 32146 02015
T 32145 02019
T 32144 02022
T 32143 02025
T 32142 02028
T 32141 02031
T 32140 02034
T 32139 02038
T 32138 02041
T 32137 02044
T 32136 02047
T 32135 02050
T 32134 02053
T 32133 02057
T 32132 02060
T 32131 02063
T 32130 02066
T 32129 02069
T 32128 02073
T 32127 02076
T 32126 02079
T 32125 02082
T 32124 02085
T 32123 02089
T 32122 02092
T 32121 02095
T 32120 02098
T 32119 02101
T 32118 02105
T 32117 02108
T 32116 02111
T 32115 02114
T 32114 02117
T 32113 02120
T 32112 02124
T 32111 02127
T 32110 02130
T 32109 02133
T 32108 02136
T 32107 02139
T 32106 02143
T 32105 02146
T 32104 02149
T 32103 02152
T 32102 02155
T 32101 02158
T 32100 02162
T 32099 02165
T 32098 02168
T 32097 02171
T 32096 02174
T 32095 02178
T 32094 02181
T 32093 02184
T 32092 02187
T 32091 02190
T 32090 02194
T 32089 02197
T 32088 02200
T 32087 02203
T 32086 02206
T 32085 02210
T 32084 02213
T 32083 02216
T 32082 02219
T 32081 02222
T 32080 02225
T 32079 02229
T 32078 02232
T 32077 02235
T 32076 02238
T 32075 02241
T 32074 02244
T 32073 02248
T 32072 02251
T 32071 02254
T 32070 02257
T 32069 02261
T 32068 02264
T 32067 02267
T 32066 02270
T 32065 02273
T 32064 02276
T 32063 02280
T 32062 02283
T 32061 02286
T 32060 02289
T 32059 02292
T 32058 02296
T 32057 02299
T 32056 02302
T 32055 02305
T 32054 02308
T 32053 02312
T 32052 02315
T 32051 02318
T 32050 02321
T 32049 02325
T 32048 02328
T 32047 02331
T 32046 02334
T 32045 02338
T 32044 02341
T 32043 02344
T 32042 02347
T 32041 02350
