Axis Count Time
T 33168 01275
T 33169 01278
T 33170 01281
T 33171 01285
T 33172 01288
T 33173 01291
T 33174 01294
T 33175 01297
T 33176 01300
T 33177 01303
T 33178 01306
T 33179 01309
T 33180 01312
T 33181 01315
T 33182 01319
T 33183 01322
T 33184 01325
T 33185 01328
T 33186 01331
T 33187 01334
T 33188 01337
T 33189 01340
T 33190 01343
T 33191 01346
T 33192 01349
T 33193 01352
T 33194 01355
T 33195 01358
T 33196 01361
T 33197 01365
T 33198 01368
T 33199 01371
T 33200 01374
T 33201 01377
T 33202 01380
T 33203 01383
T 33204 01386
T 33205 01389
T 33206 01392
T 33207 01395
T 33208 01398
T 33209 01401
T 33210 01404
T 33211 01407
T 33212 01411
T 33213 01414
T 33214 01417
T 33215 01420
T 33216 01423
T 33217 01426
